x,y,z,bridge,tunnel
3552.641,-4449.504,72.443,0,0
3549.392,-4444.900,72.624,0,0
3542.620,-4435.354,72.809,0,0
3536.788,-4427.264,72.974,0,0
3534.933,-4424.812,73.092,0,0
3533.369,-4422.810,73.171,0,0
3531.633,-4420.564,73.241,0,0
3528.629,-4416.579,73.321,0,0
3525.296,-4412.129,73.415,0,0
3521.973,-4407.709,73.519,0,0
3518.824,-4403.555,73.627,0,0
3515.684,-4399.431,73.737,0,0
3512.552,-4395.338,73.850,0,0
3509.481,-4391.358,73.963,0,0
3506.419,-4387.409,74.074,0,0
3503.371,-4383.451,74.177,0,0
3500.343,-4379.480,74.271,0,0
3497.330,-4375.500,74.362,0,0
3494.332,-4371.513,74.455,0,0
3491.366,-4367.538,74.554,0,0
3488.414,-4363.556,74.657,0,0
3485.435,-4359.524,74.755,0,0
3482.303,-4355.275,74.847,0,0
3479.143,-4350.974,74.945,0,0
3475.982,-4346.673,75.057,0,0
3472.831,-4342.389,75.178,0,0
3469.680,-4338.105,75.301,0,0
3466.529,-4333.821,75.419,0,0
3463.378,-4329.537,75.531,0,0
3460.227,-4325.253,75.637,0,0
3457.076,-4320.969,75.738,0,0
3453.926,-4316.682,75.834,0,0
3450.775,-4312.395,75.923,0,0
3447.622,-4308.117,76.006,0,0
3444.475,-4303.864,76.083,0,0
3441.325,-4299.619,76.156,0,0
3438.172,-4295.384,76.231,0,0
3435.025,-4291.170,76.323,0,0
3431.875,-4286.966,76.446,0,0
3428.723,-4282.770,76.596,0,0
3425.577,-4278.596,76.756,0,0
3422.428,-4274.431,76.912,0,0
3419.276,-4270.275,77.058,0,0
3416.131,-4266.141,77.193,0,0
3412.983,-4262.015,77.316,0,0
3409.832,-4257.899,77.428,0,0
3406.687,-4253.807,77.530,0,0
3403.539,-4249.724,77.620,0,0
3400.390,-4245.641,77.701,0,0
3397.243,-4241.555,77.771,0,0
3394.096,-4237.470,77.834,0,0
3390.948,-4233.384,77.899,0,0
3387.801,-4229.298,77.978,0,0
3384.654,-4225.212,78.069,0,0
3381.506,-4221.126,78.158,0,0
3378.359,-4217.041,78.234,0,0
3375.212,-4212.955,78.304,0,0
3372.065,-4208.869,78.396,0,0
3368.917,-4204.783,78.528,0,0
3365.770,-4200.697,78.693,0,0
3362.623,-4196.612,78.870,0,0
3359.471,-4192.530,79.047,0,0
3356.320,-4188.449,79.223,0,0
3353.181,-4184.354,79.397,0,0
3350.051,-4180.234,79.567,0,0
3346.933,-4176.101,79.724,0,0
3343.827,-4171.955,79.848,0,0
3340.727,-4167.787,79.935,0,0
3337.638,-4163.606,80.023,0,0
3334.562,-4159.413,80.173,0,0
3331.491,-4155.198,80.415,0,0
3328.432,-4150.969,80.727,0,0
3325.385,-4146.728,81.064,0,0
3322.343,-4142.466,81.390,0,0
3319.314,-4138.190,81.682,0,0
3316.296,-4133.902,81.922,0,0
3313.288,-4129.588,82.102,0,0
3310.292,-4125.260,82.238,0,0
3307.296,-4120.933,82.350,0,0
3304.296,-4116.610,82.456,0,0
3301.295,-4112.287,82.568,0,0
3298.295,-4107.965,82.690,0,0
3295.295,-4103.642,82.819,0,0
3292.295,-4099.319,82.945,0,0
3289.295,-4094.996,83.061,0,0
3286.295,-4090.673,83.164,0,0
3283.295,-4086.350,83.255,0,0
3280.295,-4082.027,83.334,0,0
3277.294,-4077.704,83.399,0,0
3274.294,-4073.381,83.452,0,0
3271.294,-4069.058,83.493,0,0
3268.288,-4064.715,83.521,0,0
3265.282,-4060.372,83.538,0,0
3262.294,-4056.090,83.554,0,0
3259.417,-4052.014,83.595,0,0
3256.557,-4047.995,83.693,0,0
3253.751,-4044.078,83.881,0,0
3251.230,-4040.514,84.169,0,0
3248.756,-4037.039,84.516,0,0
3246.236,-4033.717,84.851,0,0
3243.807,-4030.741,85.147,0,0
3241.337,-4027.900,85.430,0,0
3238.810,-4025.256,85.717,0,0
3236.450,-4022.965,85.984,0,0
3234.040,-4020.843,86.196,0,0
3231.477,-4019.007,86.335,0,0
3228.768,-4017.551,86.425,0,0
3225.911,-4016.372,86.516,0,0
3222.935,-4015.384,86.646,0,0
3219.662,-4014.552,86.816,0,0
3216.255,-4013.935,87.010,0,0
3212.727,-4013.430,87.196,0,0
3208.700,-4012.988,87.341,0,0
3204.527,-4012.681,87.458,0,0
3200.284,-4012.454,87.644,0,0
3195.781,-4012.296,87.984,0,0
3191.201,-4012.226,88.396,0,0
3186.543,-4012.202,88.815,0,0
3181.525,-4012.229,89.267,0,0
3176.420,-4012.307,89.726,0,0
3171.306,-4012.387,90.187,0,0
3166.172,-4012.454,90.649,0,0
3161.029,-4012.522,91.112,0,0
3155.875,-4012.593,91.576,0,0
3150.677,-4012.666,92.044,0,0
3145.468,-4012.742,92.512,0,0
3140.248,-4012.820,92.982,0,0
3134.986,-4012.900,93.456,0,0
3129.712,-4012.983,93.931,0,0
3124.427,-4013.067,94.406,0,0
3119.096,-4013.156,94.886,0,0
3113.753,-4013.246,95.367,0,0
3108.410,-4013.336,95.848,0,0
3103.071,-4013.426,96.329,0,0
3097.733,-4013.515,96.798,0,0
3092.394,-4013.605,97.106,0,0
3087.055,-4013.694,97.412,0,0
3081.716,-4013.784,97.716,0,0
3076.377,-4013.873,98.020,0,0
3071.034,-4013.969,98.324,0,0
3065.691,-4014.065,98.629,0,0
3060.361,-4014.142,98.936,0,0
3055.093,-4014.214,99.245,0,0
3049.838,-4014.267,99.560,0,0
3044.580,-4014.234,99.882,0,0
3039.299,-4014.092,100.213,0,0
3034.014,-4013.863,100.555,0,0
3028.728,-4013.548,100.910,0,0
3023.420,-4013.146,101.280,0,0
3018.111,-4012.657,101.664,0,0
3012.803,-4012.083,102.064,0,0
3007.469,-4011.421,102.480,0,0
3002.136,-4010.672,102.920,0,0
2996.806,-4009.840,103.406,0,0
2991.451,-4008.910,103.895,0,0
2986.099,-4007.895,104.385,0,0
2980.737,-4006.818,104.878,0,0
2975.285,-4005.652,105.379,0,0
2969.822,-4004.423,105.883,0,0
2964.359,-4003.194,106.387,0,0
2958.901,-4001.986,106.890,0,0
2953.441,-4000.778,107.394,0,0
2947.981,-3999.570,107.897,0,0
2942.479,-3998.352,108.404,0,0
2936.976,-3997.134,108.911,0,0
2931.604,-3995.945,109.386,0,0
2926.754,-3994.892,109.667,0,0
2922.017,-3993.863,109.922,0,0
2917.417,-3992.806,110.141,0,0
2913.276,-3991.791,110.334,0,0
2909.252,-3990.752,110.517,0,0
2905.400,-3989.669,110.694,0,0
2902.091,-3988.703,110.870,0,0
2898.919,-3987.703,111.042,0,0
2895.963,-3986.536,111.205,0,0
2893.477,-3985.347,111.348,0,0
2891.162,-3984.025,111.477,0,0
2889.178,-3982.479,111.624,0,0
2887.730,-3980.822,111.822,0,0
2886.558,-3978.978,112.019,0,0
2885.593,-3977.013,112.216,0,0
2884.773,-3974.861,112.423,0,0
2884.177,-3972.578,112.635,0,0
2883.833,-3970.167,112.854,0,0
2883.798,-3967.215,113.120,0,0
2884.095,-3964.094,113.402,0,0
2884.601,-3960.891,113.694,0,0
2885.391,-3957.222,114.032,0,0
2886.443,-3953.451,114.384,0,0
2887.699,-3949.656,114.744,0,0
2889.277,-3945.586,115.137,0,0
2891.090,-3941.488,115.540,0,0
2893.055,-3937.390,115.949,0,0
2895.249,-3933.116,116.382,0,0
2897.610,-3928.843,116.821,0,0
2900.122,-3924.575,117.267,0,0
2902.917,-3920.087,117.743,0,0
2905.876,-3915.605,118.226,0,0
2908.964,-3911.227,118.708,0,0
2912.162,-3907.020,119.184,0,0
2915.486,-3902.916,119.659,0,0
2918.902,-3898.876,120.135,0,0
2922.417,-3894.869,120.615,0,0
2926.025,-3890.928,121.096,0,0
2929.722,-3887.054,121.578,0,0
2933.534,-3883.220,122.064,0,0
2937.436,-3879.455,122.552,0,0
2941.424,-3875.759,123.042,0,0
2945.571,-3872.126,123.538,0,0
2949.805,-3868.564,124.036,0,0
2954.010,-3864.992,124.532,0,0
2958.108,-3861.418,124.937,0,0
2962.178,-3857.835,125.147,0,0
2966.217,-3854.243,125.334,0,0
2970.190,-3850.676,125.500,0,0
2974.134,-3847.099,125.647,0,0
2978.047,-3843.513,125.782,0,0
2981.919,-3839.952,125.909,0,0
2985.762,-3836.382,126.032,0,0
2989.500,-3832.801,126.154,0,0
2993.014,-3829.341,126.277,0,0
2996.432,-3825.872,126.403,0,0
2999.638,-3822.403,126.535,0,0
3002.354,-3819.226,126.670,0,0
3004.893,-3816.049,126.807,0,0
3007.248,-3812.888,126.934,0,0
3009.288,-3810.025,127.040,0,0
3011.174,-3807.175,127.128,0,0
3012.768,-3804.294,127.214,0,0
3013.981,-3801.634,127.330,0,0
3014.950,-3798.948,127.501,0,0
3015.514,-3796.176,127.733,0,0
3015.558,-3793.151,127.993,0,0
3015.160,-3790.033,128.229,0,0
3014.504,-3786.867,128.427,0,0
3013.476,-3783.336,128.620,0,0
3012.132,-3779.747,128.850,0,0
3010.672,-3776.069,129.131,0,0
3008.992,-3771.888,129.454,0,0
3007.170,-3767.598,129.812,0,0
3005.233,-3763.215,130.202,0,0
3002.994,-3758.301,130.626,0,0
3000.617,-3753.276,131.078,0,0
2998.128,-3748.247,131.546,0,0
2995.443,-3743.050,132.011,0,0
2992.638,-3737.849,132.450,0,0
2989.749,-3732.793,132.858,0,0
2986.906,-3728.103,133.247,0,0
2983.987,-3723.547,133.626,0,0
2981.009,-3719.200,133.995,0,0
2978.254,-3715.347,134.347,0,0
2975.448,-3711.674,134.681,0,0
2972.436,-3708.291,135.006,0,0
2969.282,-3705.326,135.338,0,0
2965.937,-3702.629,135.690,0,0
2962.417,-3700.246,136.065,0,0
2958.742,-3698.251,136.442,0,0
2954.896,-3696.562,136.820,0,0
2950.951,-3695.067,137.199,0,0
2946.837,-3693.728,137.589,0,0
2942.620,-3692.589,137.982,0,0
2938.330,-3691.569,138.379,0,0
2933.842,-3690.643,138.791,0,0
2929.277,-3689.843,139.208,0,0
2924.623,-3689.076,139.633,0,0
2919.582,-3688.281,140.092,0,0
2914.442,-3687.522,140.560,0,0
2909.303,-3686.763,141.027,0,0
2904.196,-3685.993,141.492,0,0
2899.089,-3685.222,141.957,0,0
2893.982,-3684.451,142.422,0,0
2888.869,-3683.706,142.887,0,0
2883.755,-3682.961,143.352,0,0
2878.662,-3682.139,143.816,0,0
2873.617,-3681.219,144.278,0,0
2868.592,-3680.222,144.739,0,0
2863.590,-3679.149,145.199,0,0
2858.626,-3678.002,145.658,0,0
2853.684,-3676.780,146.116,0,0
2848.766,-3675.480,146.574,0,0
2843.883,-3674.108,147.030,0,0
2839.024,-3672.659,147.487,0,0
2834.190,-3671.134,147.940,0,0
2829.389,-3669.534,148.330,0,0
2824.614,-3667.857,148.720,0,0
2819.863,-3666.110,149.115,0,0
2815.136,-3664.263,149.517,0,0
2810.432,-3662.345,149.927,0,0
2805.725,-3660.431,150.345,0,0
2800.996,-3658.542,150.768,0,0
2796.263,-3656.657,151.195,0,0
2791.526,-3654.776,151.625,0,0
2786.778,-3652.895,152.057,0,0
2782.025,-3651.018,152.487,0,0
2777.268,-3649.144,152.912,0,0
2772.500,-3647.271,153.334,0,0
2767.727,-3645.402,153.757,0,0
2762.951,-3643.536,154.183,0,0
2758.161,-3641.672,154.612,0,0
2753.367,-3639.812,155.044,0,0
2748.573,-3637.951,155.474,0,0
2743.781,-3636.090,155.895,0,0
2738.988,-3634.228,156.299,0,0
2734.196,-3632.367,156.690,0,0
2729.403,-3630.505,157.079,0,0
2724.611,-3628.644,157.476,0,0
2719.819,-3626.782,157.892,0,0
2715.026,-3624.921,158.327,0,0
2710.233,-3623.059,158.776,0,0
2705.441,-3621.198,159.231,0,0
2700.659,-3619.339,159.691,0,0
2695.876,-3617.481,160.153,0,0
2691.064,-3615.613,160.618,0,0
2686.119,-3613.698,161.095,0,0
2681.143,-3611.774,161.575,0,0
2676.136,-3609.840,162.058,0,0
2671.007,-3607.862,162.553,0,0
2665.848,-3605.874,163.050,0,0
2660.657,-3603.878,163.551,0,0
2655.345,-3601.837,164.063,0,0
2650.002,-3599.786,164.578,0,0
2644.627,-3597.726,165.096,0,0
2639.129,-3595.622,165.626,0,0
2633.599,-3593.507,166.159,0,0
2628.047,-3591.386,166.694,0,0
2622.402,-3589.233,167.237,0,0
2616.735,-3587.074,167.783,0,0
2611.076,-3584.918,168.328,0,0
2605.463,-3582.779,168.869,0,0
2599.859,-3580.643,169.409,0,0
2594.265,-3578.511,169.948,0,0
2588.705,-3576.392,170.483,0,0
2583.154,-3574.277,171.018,0,0
2577.613,-3572.165,171.551,0,0
2572.106,-3570.066,172.082,0,0
2566.609,-3567.971,172.611,0,0
2561.120,-3565.879,173.140,0,0
2555.670,-3563.802,173.665,0,0
2550.229,-3561.729,174.189,0,0
2544.788,-3559.655,174.713,0,0
2539.340,-3557.580,175.237,0,0
2533.892,-3555.505,175.762,0,0
2528.455,-3553.430,176.286,0,0
2523.060,-3551.365,176.806,0,0
2517.676,-3549.300,177.325,0,0
2512.302,-3547.234,177.843,0,0
2506.966,-3545.178,178.358,0,0
2501.641,-3543.122,178.871,0,0
2496.327,-3541.066,179.384,0,0
2491.051,-3539.019,179.894,0,0
2485.785,-3536.973,180.402,0,0
2480.531,-3534.926,180.910,0,0
2475.314,-3532.889,181.413,0,0
2470.108,-3530.852,181.917,0,0
2464.913,-3528.814,182.419,0,0
2459.760,-3526.786,182.917,0,0
2454.617,-3524.758,183.415,0,0
2449.475,-3522.730,183.912,0,0
2444.315,-3520.783,184.409,0,0
2439.155,-3518.836,184.905,0,0
2434.036,-3516.647,185.406,0,0
2428.734,-3514.033,185.938,0,0
2423.477,-3511.159,186.477,0,0
2418.430,-3508.035,187.012,0,0
2413.693,-3504.729,187.531,0,0
2409.158,-3501.182,188.050,0,0
2404.963,-3497.394,188.558,0,0
2401.297,-3493.456,189.042,0,0
2397.945,-3489.295,189.523,0,0
2394.887,-3485.104,189.990,0,0
2392.245,-3481.333,190.405,0,0
2389.852,-3477.536,190.809,0,0
2387.949,-3473.550,191.206,0,0
2386.574,-3469.250,191.612,0,0
2385.690,-3464.760,192.024,0,0
2385.419,-3460.286,192.428,0,0
2385.899,-3455.908,192.824,0,0
2386.986,-3451.546,192.888,0,0
2388.391,-3447.218,192.937,0,0
2390.184,-3442.697,192.986,0,0
2392.324,-3438.214,193.025,0,0
2394.558,-3433.848,193.052,0,0
2396.697,-3429.860,193.069,0,0
2398.923,-3425.980,193.075,0,0
2401.284,-3421.979,193.073,0,0
2404.106,-3417.174,193.063,0,0
2407.097,-3412.218,193.043,0,0
2410.258,-3407.388,193.005,0,0
2413.599,-3402.780,192.947,0,0
2417.109,-3398.299,192.867,0,0
2420.720,-3393.980,192.769,0,0
2424.297,-3389.952,192.657,0,0
2427.971,-3386.078,192.531,0,0
2431.742,-3382.377,192.386,0,0
2435.535,-3379.008,192.214,0,0
2439.420,-3375.803,192.017,0,0
2443.327,-3372.579,191.800,0,0
2447.373,-3369.222,191.572,0,0
2451.441,-3365.846,191.344,0,0
2455.298,-3362.449,191.126,0,0
2458.686,-3359.342,190.925,0,0
2461.895,-3356.216,190.752,0,0
2464.664,-3352.936,190.625,0,0
2466.791,-3349.734,190.566,0,0
2468.550,-3346.402,190.580,0,0
2469.751,-3343.026,190.636,0,0
2470.353,-3339.831,190.677,0,0
2470.478,-3336.599,190.697,0,0
2469.986,-3333.513,190.761,0,0
2468.665,-3330.531,190.935,0,0
2466.686,-3327.706,191.215,0,0
2464.398,-3325.072,191.529,0,0
2461.703,-3322.488,191.854,0,0
2458.658,-3320.121,192.101,0,0
2455.391,-3317.984,192.307,0,0
2451.688,-3316.033,192.529,0,0
2447.735,-3314.339,192.804,0,0
2443.674,-3312.732,193.134,0,0
2439.329,-3311.110,193.508,0,0
2434.865,-3309.582,193.915,0,0
2430.343,-3308.049,194.345,0,0
2425.590,-3306.449,194.796,0,0
2420.775,-3304.843,195.253,0,0
2415.972,-3303.145,195.711,0,0
2411.162,-3301.307,196.175,0,0
2406.364,-3299.375,196.640,0,0
2401.532,-3297.340,197.112,0,0
2396.433,-3295.099,197.613,0,0
2391.297,-3292.745,198.122,0,0
2386.175,-3290.312,198.632,0,0
2381.025,-3287.750,199.150,0,0
2375.888,-3285.107,199.670,0,0
2370.752,-3282.464,200.190,0,0
2365.609,-3279.850,200.709,0,0
2360.467,-3277.237,201.228,0,0
2355.328,-3274.616,201.747,0,0
2350.188,-3271.982,202.267,0,0
2345.051,-3269.340,202.787,0,0
2339.917,-3266.691,203.307,0,0
2334.781,-3264.032,203.827,0,0
2329.647,-3261.364,204.348,0,0
2324.516,-3258.689,204.869,0,0
2319.384,-3256.004,205.390,0,0
2314.255,-3253.311,205.911,0,0
2309.128,-3250.611,206.433,0,0
2304.000,-3247.900,206.955,0,0
2298.874,-3245.182,207.477,0,0
2293.751,-3242.456,208.000,0,0
2288.628,-3239.717,208.522,0,0
2283.507,-3236.970,209.045,0,0
2278.386,-3234.223,209.568,0,0
2273.290,-3231.474,210.090,0,0
2268.193,-3228.724,210.611,0,0
2263.021,-3225.991,211.137,0,0
2257.569,-3223.158,211.690,0,0
2252.035,-3220.343,212.249,0,0
2246.465,-3217.669,212.805,0,0
2240.935,-3215.204,213.350,0,0
2235.368,-3212.876,213.893,0,0
2229.767,-3210.693,214.398,0,0
2224.186,-3208.674,214.817,0,0
2218.572,-3206.796,215.219,0,0
2212.930,-3205.064,215.626,0,0
2207.297,-3203.491,216.049,0,0
2201.636,-3202.062,216.489,0,0
2195.952,-3200.782,216.946,0,0
2190.244,-3199.653,217.418,0,0
2184.513,-3198.671,217.904,0,0
2178.833,-3197.846,218.403,0,0
2173.445,-3197.250,218.891,0,0
2168.105,-3196.798,219.374,0,0
2162.765,-3196.347,219.856,0,0
2157.441,-3195.847,220.337,0,0
2152.118,-3195.347,220.818,0,0
2146.697,-3194.848,221.308,0,0
2140.780,-3194.362,221.843,0,0
2134.754,-3193.877,222.387,0,0
2128.787,-3193.279,222.926,0,0
2123.034,-3192.605,223.448,0,0
2117.337,-3191.823,223.965,0,0
2111.770,-3190.759,224.475,0,0
2106.526,-3189.412,224.963,0,0
2101.405,-3187.803,225.446,0,0
2096.439,-3185.915,225.924,0,0
2091.719,-3183.810,226.389,0,0
2087.149,-3181.439,226.852,0,0
2082.794,-3178.746,227.313,0,0
2078.610,-3175.715,227.778,0,0
2074.642,-3172.361,228.246,0,0
2071.086,-3168.675,228.707,0,0
2068.126,-3164.641,229.157,0,0
2065.571,-3160.282,229.612,0,0
2063.157,-3155.772,230.072,0,0
2060.747,-3150.943,230.558,0,0
2058.491,-3145.951,231.051,0,0
2056.272,-3140.917,231.546,0,0
2054.023,-3135.815,232.048,0,0
2051.812,-3130.670,232.425,0,0
2049.637,-3125.483,232.636,0,0
2047.527,-3120.133,232.846,0,0
2045.455,-3114.741,233.057,0,0
2043.254,-3109.471,233.275,0,0
2040.975,-3104.496,233.514,0,0
2038.577,-3099.637,233.793,0,0
2035.965,-3095.000,234.127,0,0
2033.259,-3090.768,234.530,0,0
2030.358,-3086.741,234.977,0,0
2027.187,-3083.018,235.417,0,0
2023.779,-3079.680,235.846,0,0
2020.111,-3076.635,236.275,0,0
2016.217,-3073.916,236.703,0,0
